,0 - 10,10 - 20,20 - 30,30 - 40,40 - 50,50 - 60,60 - 70,70 - 80,80 - 90,90 - 100,100 - 110,110 - 120,120 - 130,130 - 140,140 - 150,150 - 200,200 - 250,250 - 315,315 - 395
0 - 10,1.0,0.1183469264103098,0.1134017158817582,0.06377820788709904,0.05889254275206224,0.04505681290670064,0.007296867519522551,0.01300175959671056,0.004726547142273493,0.024066357390074806,0.013495762268525566,-0.0007485436650265454,-0.02147179756434409,0.0057601861195415195,-0.009737174609228948,-0.010056771345408281,0.0050847510346695825,-0.009207411209953461,-0.015576394170587728
10 - 20,0.1183469264103098,1.0,0.19917977999508796,0.12887187050296556,0.023799796709781725,0.02870385176141551,0.009959107227733821,0.016478955153139217,0.040817233986496365,0.0073354686121612925,0.039662130021153194,-0.0316790792295049,0.010081712703487124,0.045548124820790827,-0.0017406495240091825,0.005217635187095212,0.003226228386949522,-0.012714031785530083,-0.00819246362989282
20 - 30,0.1134017158817582,0.19917977999508796,1.0,0.2632750434843619,0.14506773628730632,0.10702954704914554,0.08020079721777056,-0.0039060455382804392,0.009712296094932401,-0.020360173417459035,-0.04040963049777739,-0.050603695532503094,-0.05661148008686064,-0.029156232356439944,-0.011215432144686961,-0.037395088923102615,-0.05404926559933119,-0.02155851952805699,-0.03158567134164779
30 - 40,0.06377820788709904,0.12887187050296556,0.2632750434843619,1.0,0.2693837890114139,0.14223335817690735,0.11492184122771973,0.010152990344130851,0.013388902710552913,0.01064013395071372,-0.004502197473976411,-0.0164971086339636,0.005439302190396445,-0.01555527183996439,-0.008471925567084732,0.06747070551772234,0.012742912872548313,0.011579151137388532,0.048309492333374636
40 - 50,0.05889254275206224,0.023799796709781725,0.14506773628730632,0.2693837890114139,1.0,0.2889276934605861,0.16826396940806548,0.12302240358525338,0.07662777969188654,0.01873310055994974,-0.038573073485900534,-0.04846343685494085,-0.01047591053807116,-0.028085769936252093,0.02399660096054308,0.020000713899669786,0.024228029656150875,0.05167823846974168,0.07703076712162793
50 - 60,0.04505681290670064,0.02870385176141551,0.10702954704914554,0.14223335817690735,0.2889276934605861,1.0,0.32650145688788335,0.1886895013941949,0.1458667995351311,0.04949011721292947,0.03281740042711164,0.052777843265796535,0.023853265256056216,-0.025524788215250702,0.04291824117116553,-0.004184808111447831,-0.02079029302648027,-0.019859542770816103,-0.010378534259858005
60 - 70,0.007296867519522551,0.009959107227733821,0.08020079721777056,0.11492184122771973,0.16826396940806548,0.32650145688788335,1.0,0.29712475284050033,0.17406251426797856,0.14225515210608092,0.11579436516681779,0.06919768476349693,0.05776966134462699,0.0010993332572769654,0.032896587377526064,0.03009768270979496,0.05698987604903145,0.041220857383936604,0.05844429842723321
70 - 80,0.01300175959671056,0.016478955153139217,-0.0039060455382804392,0.010152990344130851,0.12302240358525338,0.1886895013941949,0.29712475284050033,1.0,0.4124411715986239,0.2423267792227806,0.20275627345803174,0.15403649073213013,0.13041872620009376,0.042062566079736255,0.0991108600881444,0.052629871281029764,0.02459584895760347,0.03140233851116239,0.06428132366394788
80 - 90,0.004726547142273493,0.040817233986496365,0.009712296094932401,0.013388902710552913,0.07662777969188654,0.1458667995351311,0.17406251426797856,0.4124411715986239,1.0,0.3598849377655592,0.24954348342032562,0.18541043270780347,0.11997062693538879,0.061188904795446496,0.10836769127861852,0.07404184050324035,0.04891557751509974,0.01772421944653557,0.057335218629265446
90 - 100,0.024066357390074806,0.0073354686121612925,-0.020360173417459035,0.01064013395071372,0.01873310055994974,0.04949011721292947,0.14225515210608092,0.2423267792227806,0.3598849377655592,1.0,0.36206170837078483,0.2617249011247501,0.1851351774361786,0.09479243023469049,0.1422846366014706,0.08699104453700404,0.06513822990929619,0.04688565440640727,0.04966682080433583
