,0 - 10,10 - 20,20 - 30,30 - 40,40 - 50,50 - 60,60 - 70,70 - 80,80 - 90,90 - 100,100 - 110,110 - 120,120 - 130,130 - 140,140 - 150,150 - 200,200 - 250,250 - 315,315 - 395
0 - 10,1.0,0.16780313641431382,0.027735521222961388,0.03882523672711279,0.006997166276572909,0.015596123427384014,-0.014036209921803506,-0.03054333546020716,0.01384860205415517,0.024669776480746333,-0.003980597966916751,0.007191400511179723,0.04490838797117203,0.023420344407185333,-0.00608928473434907,0.01620214682379194,0.035046942185540345,0.10625746973462737,0.10297364962782075
10 - 20,0.16780313641431382,1.0,0.37261637230412525,0.192319299681812,0.11717156176467089,0.14993404564647683,0.07468123621574939,0.08891322130395438,0.03852655292702994,0.010296024148669383,0.0019884792391861787,0.0328725540449197,0.016080085115238417,0.03626356172833504,0.004089418013203572,0.014478614988346298,0.01034891127653305,0.06940073969437233,-0.007401523311047618
20 - 30,0.027735521222961388,0.37261637230412525,1.0,0.45487436477880994,0.21285101320877292,0.1565189250037392,0.09766604879744463,0.10209381236467949,0.014343408405878603,0.020092047245148556,-0.008789562745482041,-0.029653092315311998,-0.009956060783296774,0.006709183742116384,0.06037198689957429,0.09165194968994304,0.04061596897057592,0.050124107966876295,-0.025268135157856152
30 - 40,0.03882523672711279,0.192319299681812,0.45487436477880994,1.0,0.44628430018567833,0.30867583904054724,0.16428678804639515,0.19367431543896738,0.08764275536845167,0.06872890747827495,0.046675847533894525,0.013717483114331339,0.058730965493960216,0.04971769012112201,0.00751145370259644,0.0746999132163309,0.06983420945279528,0.07164414869775573,0.024768541147304556
40 - 50,0.006997166276572909,0.11717156176467089,0.21285101320877292,0.44628430018567833,1.0,0.472990903391956,0.31352552681035556,0.289547671431997,0.17089552029220056,0.12581424460555912,0.11530835220239014,0.029537598934286348,-0.009807152509153108,0.03747412527566686,0.0023673182998269057,0.04069279487606873,0.06407911316339032,0.03613987874999694,0.04496872872868155
50 - 60,0.015596123427384014,0.14993404564647683,0.1565189250037392,0.30867583904054724,0.472990903391956,1.0,0.541965919202895,0.35289094542515603,0.25273005619937006,0.1214121341569861,0.11729321069838457,0.08029008079697322,0.05697313043889032,0.07560880715623493,0.03586577377489248,0.06932245009969361,0.0996730991342607,0.06822501181324302,0.059622871147615004
60 - 70,-0.014036209921803506,0.07468123621574939,0.09766604879744463,0.16428678804639515,0.31352552681035556,0.541965919202895,1.0,0.5666124740110338,0.356647681167359,0.24583693401230655,0.13256807028623208,0.14649660258915218,0.08135817695971342,0.02766556457589301,0.006466403071651806,0.029885501165594644,0.08706092939827702,0.026782591484670163,0.008188001922147862
70 - 80,-0.03054333546020716,0.08891322130395438,0.10209381236467949,0.19367431543896738,0.289547671431997,0.35289094542515603,0.5666124740110338,1.0,0.5551668767433654,0.4045914923478359,0.28231423048326787,0.19301661978396512,0.13836569910789842,0.09708848749878526,0.059674238044218106,0.07048254561780959,0.10378303595074881,0.00528687948246773,0.00042788989433002376
80 - 90,0.01384860205415517,0.03852655292702994,0.014343408405878603,0.08764275536845167,0.17089552029220056,0.25273005619937006,0.356647681167359,0.5551668767433654,1.0,0.5780526310991319,0.37925762958304016,0.22565058451316078,0.156632371715706,0.13796517413567808,0.09805249374683436,0.18762570538961962,0.17013915473761235,0.09035295193240392,0.11405961346290816
90 - 100,0.024669776480746333,0.010296024148669383,0.020092047245148556,0.06872890747827495,0.12581424460555912,0.1214121341569861,0.24583693401230655,0.4045914923478359,0.5780526310991319,1.0,0.5766013360792597,0.4063288399811947,0.27777086984490396,0.2543361927197033,0.17521121685735752,0.16134306931435383,0.11964652666144647,0.029756300387750262,0.06531184387416371
100 - 110,-0.003980597966916751,0.0019884792391861787,-0.008789562745482041,0.046675847533894525,0.11530835220239014,0.11729321069838457,0.13256807028623208,0.28231423048326787,0.37925762958304016,0.5766013360792597,1.0,0.62053303144292,0.41419080088029203,0.3319780133003828,0.17934304663170617,0.18293910946206668,0.13905447050141062,0.05426893051343305,0.06833937311746625
110 - 120,0.007191400511179723,0.0328725540449197,-0.029653092315311998,0.013717483114331339,0.029537598934286348,0.08029008079697322,0.14649660258915218,0.19301661978396512,0.22565058451316078,0.4063288399811947,0.62053303144292,1.0,0.5921094955645733,0.39524170873451014,0.23360748294749725,0.20290407967327068,0.10111096018580458,0.04909720546968713,0.0193575548307075
120 - 130,0.04490838797117203,0.016080085115238417,-0.009956060783296774,0.058730965493960216,-0.009807152509153108,0.05697313043889032,0.08135817695971342,0.13836569910789842,0.156632371715706,0.27777086984490396,0.41419080088029203,0.5921094955645733,1.0,0.5991943379170452,0.3917523948691353,0.23662689352026384,0.17350967926706737,0.1447458733805486,0.10539809576655411
130 - 140,0.023420344407185333,0.03626356172833504,0.006709183742116384,0.04971769012112201,0.03747412527566686,0.07560880715623493,0.02766556457589301,0.09708848749878526,0.13796517413567808,0.2543361927197033,0.3319780133003828,0.39524170873451014,0.5991943379170452,1.0,0.5762233675111568,0.3278731042405823,0.22690794353891092,0.2107493350220933,0.1467140216962185
140 - 150,-0.00608928473434907,0.004089418013203572,0.06037198689957429,0.00751145370259644,0.0023673182998269057,0.03586577377489248,0.006466403071651806,0.059674238044218106,0.09805249374683436,0.17521121685735752,0.17934304663170617,0.23360748294749725,0.3917523948691353,0.5762233675111568,1.0,0.46254951505216185,0.18709760884287532,0.16581320499857274,0.12552394092145533
150 - 200,0.01620214682379194,0.014478614988346298,0.09165194968994304,0.0746999132163309,0.04069279487606873,0.06932245009969361,0.029885501165594644,0.07048254561780959,0.18762570538961962,0.16134306931435383,0.18293910946206668,0.20290407967327068,0.23662689352026384,0.3278731042405823,0.46254951505216185,1.0,0.5161763791464413,0.37994786852638757,0.37737607639035187
200 - 250,0.035046942185540345,0.01034891127653305,0.04061596897057592,0.06983420945279528,0.06407911316339032,0.0996730991342607,0.08706092939827702,0.10378303595074881,0.17013915473761235,0.11964652666144647,0.13905447050141062,0.10111096018580458,0.17350967926706737,0.22690794353891092,0.18709760884287532,0.5161763791464413,1.0,0.6521361922529083,0.5527591307468035
250 - 315,0.10625746973462737,0.06940073969437233,0.050124107966876295,0.07164414869775573,0.03613987874999694,0.06822501181324302,0.026782591484670163,0.00528687948246773,0.09035295193240392,0.029756300387750262,0.05426893051343305,0.04909720546968713,0.1447458733805486,0.2107493350220933,0.16581320499857274,0.37994786852638757,0.6521361922529083,1.0,0.7018799154250389
315 - 395,0.10297364962782075,-0.007401523311047618,-0.025268135157856152,0.024768541147304556,0.04496872872868155,0.059622871147615004,0.008188001922147862,0.00042788989433002376,0.11405961346290816,0.06531184387416371,0.06833937311746625,0.0193575548307075,0.10539809576655411,0.1467140216962185,0.12552394092145533,0.37737607639035187,0.5527591307468035,0.7018799154250389,1.0
