,0 - 10,10 - 20,20 - 30,30 - 40,40 - 50,50 - 60,60 - 70,70 - 80,80 - 90,90 - 100,100 - 110,110 - 120,120 - 130,130 - 140,140 - 150,150 - 200,200 - 250,250 - 315,315 - 395
0 - 10,0.013174202131414452,0.0011599264966011113,0.0006469664779293026,3.7751471409728065e-05,4.795830659285121e-05,0.00013160696833795028,-0.00012205953859252617,0.00012847162111361403,4.8471859856824154e-05,-4.869540284385236e-05,-2.5230937745079797e-05,-0.00016415136237640652,-3.1051059396967085e-06,0.00012902129624268123,-5.390054425861999e-05,4.205668886209871e-06,4.784308643373864e-06,-8.514919336237055e-07,1.524543269348024e-05
10 - 20,0.0011599264966011113,0.006906795864669927,0.0011746815419564024,0.0005784605903355099,0.0002720157377941837,7.659252929593732e-05,0.0001833741006031649,1.831835803268776e-05,8.402438181398078e-05,-3.461688901085565e-05,-1.0860989511093316e-05,-4.804700720269739e-05,-4.91772016305901e-05,-3.8541972078795146e-05,-5.270588355431263e-05,-1.830017979972304e-05,-1.7736006179796605e-05,-2.0809686597510756e-05,-3.3033824167390666e-05
20 - 30,0.0006469664779293026,0.0011746815419564024,0.004431536270318321,0.0009943883180237663,0.0004949678670976849,0.00021979281778577759,0.0001268590599050814,-4.4841530805460316e-06,-1.2630427242127913e-05,1.4276536606549092e-05,5.038826929003561e-05,-2.883142383428754e-05,-2.5739941143578057e-05,-1.5264045213507537e-05,-3.260580546431749e-05,7.772139257349439e-07,5.6225600548986955e-06,-6.682147251848572e-06,1.1377039744142005e-05
30 - 40,3.7751471409728065e-05,0.0005784605903355099,0.0009943883180237663,0.0029006086663813215,0.0006827916026258202,0.0003992620538857158,0.00021836493122820707,0.0001206856064696225,0.00013584859077897104,6.949457335040277e-05,5.2034338049770173e-05,2.4915887262096674e-05,3.850784430315161e-06,1.3151796287401739e-05,2.939194328538569e-05,2.4984966068506425e-05,3.5576556464767966e-06,9.233413551668141e-06,7.700002579240277e-06
40 - 50,4.795830659285121e-05,0.0002720157377941837,0.0004949678670976849,0.0006827916026258202,0.0018860800450601486,0.0005332579336752832,0.0002690700037223605,0.00015002901981269248,9.537153083930753e-05,5.110630459178779e-05,3.01874239332101e-05,4.731642455315326e-05,2.603279222676134e-05,3.17925403303298e-05,4.870520805314609e-05,2.3618835667805625e-05,1.589059752775713e-05,1.6060963324115158e-05,1.3615002344378724e-05
50 - 60,0.00013160696833795028,7.659252929593732e-05,0.00021979281778577759,0.0003992620538857158,0.0005332579336752832,0.0015014138203512492,0.00046778548054931515,0.000237908680605964,0.0001745153155551766,0.000111884554099639,4.470821531347068e-05,-2.3986933808880224e-05,2.0766288898864915e-05,6.852767143201001e-06,4.0896665637164504e-05,2.5996792279314108e-05,9.432010005659735e-06,5.136855188390156e-06,4.3457261754342885e-06
60 - 70,-0.00012205953859252617,0.0001833741006031649,0.0001268590599050814,0.00021836493122820707,0.0002690700037223605,0.00046778548054931515,0.0011338123495888404,0.00037316082719930735,0.0002640054376445737,0.0001377274967940663,7.10366202111364e-05,3.215446466877606e-05,3.708977142996824e-05,4.635758560583008e-05,5.540273398152601e-05,1.665471295126602e-05,1.737288266121311e-06,2.7688178415075005e-06,6.002949802407103e-06
70 - 80,0.00012847162111361403,1.831835803268776e-05,-4.4841530805460316e-06,0.0001206856064696225,0.00015002901981269248,0.000237908680605964,0.00037316082719930735,0.0008749375932606475,0.0002790884645739071,0.00015700012652290936,8.005609030778112e-05,6.495721287347537e-05,4.5746257739454235e-05,6.72478394609496e-05,4.686184762109588e-05,3.8338457361569534e-05,1.4081816614374008e-05,1.2164374857408554e-05,5.3543021491034945e-06
80 - 90,4.8471859856824154e-05,8.402438181398078e-05,-1.2630427242127913e-05,0.00013584859077897104,9.537153083930753e-05,0.0001745153155551766,0.0002640054376445737,0.0002790884645739071,0.0007740497309622766,0.00025047928441036815,0.0001223965130410305,9.225067402327097e-05,8.328411673274104e-05,8.154126887181298e-05,5.676368038725471e-05,2.2600912165853617e-05,6.5373793004028296e-06,9.80039072375162e-06,9.630002683340386e-06
90 - 100,-4.869540284385236e-05,-3.461688901085565e-05,1.4276536606549092e-05,6.949457335040277e-05,5.110630459178779e-05,0.000111884554099639,0.0001377274967940663,0.00015700012652290936,0.00025047928441036815,0.0006083666896001254,0.00020230495832162016,0.0001361815022724553,9.649021235417573e-05,8.294026897605568e-05,5.865297499501891e-05,2.8683923407391417e-05,2.233062309764763e-05,1.5699527633546477e-05,6.327610922555155e-06
100 - 110,-2.5230937745079797e-05,-1.0860989511093316e-05,5.038826929003561e-05,5.2034338049770173e-05,3.01874239332101e-05,4.470821531347068e-05,7.10366202111364e-05,8.005609030778112e-05,0.0001223965130410305,0.00020230495832162016,0.0004930828358357321,0.00018654753536703926,0.00011569221848399446,7.997462170436063e-05,5.36876836388253e-05,2.516107945466315e-05,3.455130700980827e-05,1.7418408477671828e-05,9.558510259088485e-06
110 - 120,-0.00016415136237640652,-4.804700720269739e-05,-2.883142383428754e-05,2.4915887262096674e-05,4.731642455315326e-05,-2.3986933808880224e-05,3.215446466877606e-05,6.495721287347537e-05,9.225067402327097e-05,0.0001361815022724553,0.00018654753536703926,0.00045248760746585795,0.00014797493094743938,9.518802038987882e-05,7.905604505684311e-05,3.136173329290933e-05,3.190022116567902e-05,2.4266128389638335e-05,1.6475654977084136e-05
120 - 130,-3.1051059396967085e-06,-4.91772016305901e-05,-2.5739941143578057e-05,3.850784430315161e-06,2.603279222676134e-05,2.0766288898864915e-05,3.708977142996824e-05,4.5746257739454235e-05,8.328411673274104e-05,9.649021235417573e-05,0.00011569221848399446,0.00014797493094743938,0.0003925041918033603,0.0001548781755529437,9.214288334615891e-05,4.4959355650639914e-05,3.171840561519093e-05,2.4949080113724155e-05,1.8469438692096042e-05
